Datetime,close,high,low
2026-01-14 13:05:00+00:00,159840,159970,159820
2026-01-14 13:10:00+00:00,160120,160160,159810
2026-01-14 13:15:00+00:00,160080,160330,160080
2026-01-14 13:20:00+00:00,160010,160130,159890
2026-01-14 13:25:00+00:00,160170,160210,160000
2026-01-14 13:30:00+00:00,160240,160350,160120
2026-01-14 13:35:00+00:00,160180,160380,160140
2026-01-14 13:40:00+00:00,160380,160400,160160
2026-01-14 13:45:00+00:00,160210,160390,160190
2026-01-14 13:50:00+00:00,160120,160310,160060
2026-01-14 13:55:00+00:00,159960,160140,159930
2026-01-14 14:00:00+00:00,159790,159960,159740
2026-01-14 14:05:00+00:00,159210,159860,159200
2026-01-14 14:10:00+00:00,159470,159550,158830
2026-01-14 14:15:00+00:00,159570,159600,159370
2026-01-14 14:20:00+00:00,159820,160000,159600
2026-01-14 14:25:00+00:00,159870,159880,159680
2026-01-14 14:30:00+00:00,159940,160120,159850
2026-01-14 14:35:00+00:00,160310,160400,159840
2026-01-14 14:40:00+00:00,160310,160400,160190
2026-01-14 14:45:00+00:00,160340,160470,160250
2026-01-14 14:50:00+00:00,160420,160470,160170
2026-01-14 14:55:00+00:00,160390,160530,160380
2026-01-14 15:00:00+00:00,160740,160740,160280
2026-01-14 15:05:00+00:00,160600,160750,160570
2026-01-14 15:10:00+00:00,160550,160670,160510
2026-01-14 15:15:00+00:00,160590,160680,160550
2026-01-14 15:20:00+00:00,160690,160740,160560
2026-01-14 15:25:00+00:00,160610,160780,160570
2026-01-14 15:30:00+00:00,160500,160580,160450
2026-01-14 15:35:00+00:00,160640,160650,160450
2026-01-14 15:40:00+00:00,160400,160650,160400
2026-01-14 15:45:00+00:00,160260,160470,160230
2026-01-14 15:50:00+00:00,160370,160380,160150
2026-01-14 15:55:00+00:00,160380,160430,160340
2026-01-14 16:00:00+00:00,160380,160460,160330
2026-01-14 16:05:00+00:00,160420,160430,160330
2026-01-14 16:10:00+00:00,160440,160460,160360
2026-01-14 16:15:00+00:00,160430,160470,160380
2026-01-14 16:20:00+00:00,160460,160520,160380
2026-01-14 16:25:00+00:00,160510,160580,160440
2026-01-14 16:30:00+00:00,160510,160580,160500
2026-01-14 16:35:00+00:00,160550,160570,160440
2026-01-14 16:40:00+00:00,160540,160570,160490
2026-01-14 16:45:00+00:00,160490,160540,160460
2026-01-14 16:50:00+00:00,160560,160600,160470
2026-01-14 16:55:00+00:00,160450,160540,160440
2026-01-14 17:00:00+00:00,160570,160600,160460
2026-01-14 17:05:00+00:00,160660,160660,160530
2026-01-14 17:10:00+00:00,160600,160710,160580
2026-01-14 17:15:00+00:00,160600,160690,160570
2026-01-14 17:20:00+00:00,160620,160650,160540
2026-01-14 17:25:00+00:00,160660,160750,160610
2026-01-14 17:30:00+00:00,160620,160670,160590
2026-01-14 17:35:00+00:00,160610,160640,160530
2026-01-14 17:40:00+00:00,160550,160630,160540
2026-01-14 17:45:00+00:00,160600,160600,160520
2026-01-14 17:50:00+00:00,160560,160600,160500
2026-01-14 17:55:00+00:00,160600,160630,160530
2026-01-14 18:00:00+00:00,160670,160670,160530
2026-01-14 18:05:00+00:00,160660,160700,160640
2026-01-14 18:10:00+00:00,160700,160740,160590
2026-01-14 18:15:00+00:00,160790,160800,160710
2026-01-14 18:20:00+00:00,160850,160870,160790
2026-01-14 18:25:00+00:00,160900,160910,160850
2026-01-14 18:30:00+00:00,160950,161090,160880
2026-01-14 18:35:00+00:00,160940,161010,160920
2026-01-14 18:40:00+00:00,161050,161060,160940
2026-01-14 18:45:00+00:00,161120,161200,161030
2026-01-14 18:50:00+00:00,161200,161250,161100
2026-01-14 18:55:00+00:00,161230,161290,161200
2026-01-14 19:00:00+00:00,161270,161280,161210
2026-01-14 19:05:00+00:00,161230,161330,161220
2026-01-14 19:10:00+00:00,161290,161360,161230
2026-01-14 19:15:00+00:00,161320,161350,161280
2026-01-14 19:20:00+00:00,161350,161400,161330
2026-01-14 19:25:00+00:00,161400,161400,161300
2026-01-14 19:30:00+00:00,161400,161470,161380
2026-01-14 19:35:00+00:00,161500,161500,161400
2026-01-14 19:40:00+00:00,161520,161550,161460
2026-01-14 19:45:00+00:00,161620,161640,161480
